Model,RMSE,MAE,R² Score
XGBoost,62.46645580745439,17.675034907967756,0.7122542222878123
LightGBM,60.60094065344169,21.15732309195305,0.7291842247881062
Deep Learning,79.60270821880164,29.484193357054412,0.5327267552408631
